id,username,created_at,lng,lat,text
1518087187316699136,TerrySimmons100,Sun Apr 24 04:39:24 +0000 2022,-118.4119065,34.0207895,"$1,000,000 DOLLAR SHOT!!! 🤯https://t.co/oOEcIryI73"
1518087279994101760,josenava6489,Sun Apr 24 04:39:46 +0000 2022,-80.3476035,25.8762175,@Durrtydoesit I’m level 50 and ducking level 20 raptors can two or three shot you https://t.co/kVInOfZJEH
1518087301959766016,RIZZYBEE3,Sun Apr 24 04:39:52 +0000 2022,-97.2859135,32.7799665,@adrian_sux https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohkhttps://t.co/F3ioUMIn3B...DFW… https://t.co/e1v3NNPABs
1518087312042778625,Qsquare2,Sun Apr 24 04:39:54 +0000 2022,3.3386055,6.4931125,"@PrerogativeMi Ki lo dey oooo ?Let be claiming down ooooOne shot don enter 3 net, Haba now !!!"
1518087360340103169,Praveen44469663,Sun Apr 24 04:40:06 +0000 2022,78.4650945,17.3886495,Beside my house there is palm wine shop every day we are getting disturbance &amp; people will drink and set infront of… https://t.co/AWpXxd4Zf0
1518087404883779589,FanPolls4U,Sun Apr 24 04:40:16 +0000 2022,11.73402,57.681106,Nail on the head #mufc #ralf get these players out of our club
1518087408738521088,jimjuum,Sun Apr 24 04:40:17 +0000 2022,100.534701,13.739609,"She is not going to give up  the face mask mandate without a fight!I sat next to her, she took out her alcohol spr… https://t.co/PSrFgBMQGn"
1518087435577708544,RIZZYBEE3,Sun Apr 24 04:40:23 +0000 2022,-97.2859135,32.7799665,@DJMissMilan @IamAsiahn https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/aLnW1QO0Po
1518087442447978496,SofaKingJay,Sun Apr 24 04:40:25 +0000 2022,-96.7617535,32.8198585,Drunk UNO serious rn
1518087443781767170,Makyle_Ice,Sun Apr 24 04:40:25 +0000 2022,-75.117998,40.0048655,JJJs shot is wicked man
1518087457727651840,Gators1121,Sun Apr 24 04:40:29 +0000 2022,-112.1246765,33.5528625,Different level of drunk here 😭
1518087491051409409,acayless1,Sun Apr 24 04:40:37 +0000 2022,172.7458665,-43.6457815,@HewittVincent Stunning shot! #SaveRedDeadOnline 🤠
1518087507199545345,Apex_Oracle,Sun Apr 24 04:40:41 +0000 2022,-103.415213,20.708182,Dead🚥@NorwayinJapan•@apex_en_espanolDownfall🔵@ChnEmbassy_jp @PlayboyRadioEspEar💡@APECBiz @LushEngineering… https://t.co/2rCkmZ7Vrq
1518087547745878016,RIZZYBEE3,Sun Apr 24 04:40:50 +0000 2022,-97.2859135,32.7799665,@ClubhouseRecs @Spotify @whoisPHABO @DeeGatti_ @sebastianmikael @VicGouveia_ @ChildrenOfZeus @frvrfriday @HEYHXRY… https://t.co/MrYqqsRG34
1518087613827239936,gmjrooke,Sun Apr 24 04:41:06 +0000 2022,-118.2066269,51.0038834,Drinking a Darkside Of The Stoke by @mtbegbiebeer @ Alpine Inn &amp; Suites — https://t.co/4vb703o73v
1518087655350755328,eggowafflestan,Sun Apr 24 04:41:16 +0000 2022,-81.3677725,28.5016785,they played rina and chari at the club 😈
1518087741694566400,danriccio_,Sun Apr 24 04:41:36 +0000 2022,-123.123581,49.257639,"Scoring from distance is the hardest thing to do in the NHL, and Pettersson can do it about as well as anyone in th… https://t.co/b5q1zn9csC"
1518087770446589952,millieah,Sun Apr 24 04:41:43 +0000 2022,-113.9698774,52.0204794,Just posted a photo @ Innisfail Curling Club https://t.co/1vfYlmHEKo
1518087852503961600,theemmalilly,Sun Apr 24 04:42:03 +0000 2022,-115.135165,36.0609645,@xoautumnhartxo Why am I so drunk
1518087870510153729,RIZZYBEE3,Sun Apr 24 04:42:07 +0000 2022,-97.2859135,32.7799665,@wearestaytrue @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/1LnSv8jfWx
1518087918924943360,scottculkin,Sun Apr 24 04:42:19 +0000 2022,-117.104989,32.810012,@FlyMeKate @dougkempf @scottiebateman @DaveWallsworth Doug always gets the shot!
1518087919235481600,RIZZYBEE3,Sun Apr 24 04:42:19 +0000 2022,-97.2859135,32.7799665,@haarlemb @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/u80dHdF7IX
1518087920808247297,alondrajazmin29,Sun Apr 24 04:42:19 +0000 2022,-98.189648,26.1679045,i want to get drunk in progresso so bad
1518087939594633219,Cherry_man_1,Sun Apr 24 04:42:24 +0000 2022,-94.808085,38.886623,Spicy man has found spicy drink! https://t.co/WSRFaegFoD
1518087994338693120,RIZZYBEE3,Sun Apr 24 04:42:37 +0000 2022,-97.2859135,32.7799665,@ladidaix @DailyChiefers @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/wMqhXVAqpn
1518088016480419841,RIZZYBEE3,Sun Apr 24 04:42:42 +0000 2022,-97.2859135,32.7799665,@DailyChiefers @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/U46qW0QWnH
1518088018111832064,ARWomen,Sun Apr 24 04:42:42 +0000 2022,-112.1246765,33.5528625,Way to #LeadRight ladies!
1518088051968335873,RIZZYBEE3,Sun Apr 24 04:42:50 +0000 2022,-97.2859135,32.7799665,@mmtomczak @deasia_paige @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/xldXvqRUhz
1518088066803527680,Amitraj9276,Sun Apr 24 04:42:54 +0000 2022,78.4650945,17.3886495,One of the best ever straight drive shot we have seen from one of best batsman @sachin_rt Happy birthday sir.… https://t.co/plZZvdOhbB
1518088083211755520,RIZZYBEE3,Sun Apr 24 04:42:58 +0000 2022,-97.2859135,32.7799665,@swimnrth @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohk… https://t.co/JAGNdxPkOQ
1518088090233016321,jctAU,Sun Apr 24 04:43:00 +0000 2022,151.1647034,-33.9119492,Coffee Pale Ale by Batch Brewing now we’re talking coffee plus beer near Roma from this class is just divine really… https://t.co/rKRDDmtqaQ
1518088130150416384,KiwiDiva,Sun Apr 24 04:43:09 +0000 2022,174.8562435,-36.595729,@mauikanehoalani @jihyodebut Awww yes pua ting! Wouldn’t he still be on kapu until after tonight’s ‘auana performan… https://t.co/Xk6TAQVxAF
1518088135082663936,chclja,Sun Apr 24 04:43:10 +0000 2022,-73.9685415,40.780709,Those drunk goggles they gave you in D.A.R.E. were 1000% a lie
1518088154699509760,RIZZYBEE3,Sun Apr 24 04:43:15 +0000 2022,-97.2859135,32.7799665,@marzz @DeeGatti_ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohkhttps://t.co/F3ioUMIn3B.… https://t.co/zYK1DBIfDr
1518088194155290625,RIZZYBEE3,Sun Apr 24 04:43:24 +0000 2022,-97.2859135,32.7799665,@RomiiRae @lavoyce @DeeGatti_ @1lexaayyy @amariamore_ @alemeda https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57… https://t.co/M9XcWrs3nU
1518088229433626624,donniew031971,Sun Apr 24 04:43:33 +0000 2022,-96.7349005,33.0612425,Back guys heather hazelett wirshiooed satan in me an Mirsnda an video needs listen too cause I think she might have… https://t.co/IqIWJLkkJE
1518088238161879040,RIZZYBEE3,Sun Apr 24 04:43:35 +0000 2022,-97.2859135,32.7799665,@costariquena @DeeGatti_ @snohaalegra @ambre @DawnRichard @louval @VictoriaMonet @liannelahavas @helloBOSCO… https://t.co/DmEE53R21E
1518088320122863616,_Ganzzzzz,Sun Apr 24 04:43:54 +0000 2022,-106.632718,35.1170025,One shot away from singing heartless on karaoke
1518088347000119298,JulieParnell9,Sun Apr 24 04:44:01 +0000 2022,150.931975,-33.848244,@CatPurry9 Every Australian household deserves a carton of beer to celebrate
1518088378062827520,icemontgomery,Sun Apr 24 04:44:08 +0000 2022,-118.1567105,33.8091715,Yup! Shot in Charlotte. #HometownPride
1518088382127083520,GuillermosPerro,Sun Apr 24 04:44:09 +0000 2022,-123.123581,49.257639,@SatiarShah That was a 70’s Guy Lafleur shot! #tribute
1518088392134823936,JohnAda32739360,Sun Apr 24 04:44:12 +0000 2022,-82.5112375,40.065186,"Why not balloons dropping leaflets with the truth. It’s cheap, effective, efficient and can’t be destroyed by being… https://t.co/Uf1sx4CHLY"
1518088398208073728,Deckle_Edge,Sun Apr 24 04:44:13 +0000 2022,88.352242,22.6127055,"@isaidelgoley Shot on a cold and rainy evening at Mahabaleshwar in Maharashtra, India, this photograph has a heart-… https://t.co/WHmKZwA4gd"
1518088407347572736,RIZZYBEE3,Sun Apr 24 04:44:15 +0000 2022,-97.2859135,32.7799665,@Bullseye_Live https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohkhttps://t.co/F3ioUMIn3B...… https://t.co/EeiP9lPn4w
1518088417065803776,Grizz_Lead,Sun Apr 24 04:44:18 +0000 2022,-89.922029,35.1335205,What a terrible challenge. The Grizzlies had a short shot clock and that challenge doesn’t bring points off the boa… https://t.co/O0R7w9SRaW
1518088446534950913,robin_gibbs,Sun Apr 24 04:44:25 +0000 2022,-84.36713132,33.78034071,When #Bestfriends drink on a Saturday at the Beltline Atlanta! #goodtimes #saturdayvibes #beltlineatl #bestfriends… https://t.co/u6ZSRSlZE8
1518088489698480128,RIZZYBEE3,Sun Apr 24 04:44:35 +0000 2022,-97.2859135,32.7799665,@ninanine___ https://t.co/ZadT3J7B4Ihttps://t.co/V1AQZwfN57 https://t.co/xatYEyWohkhttps://t.co/F3ioUMIn3B...DF… https://t.co/rEv5d3KI9t
